name,parent,value,price,ratio,ticker,
Origin,,,,,,
팜젠사이언스,Origin,11.26,"12,350",+11.26%,004720,
해성디에스,Origin,11.21,"39,200",+11.21%,195870,
대웅제약,Origin,11.04,"171,000",+11.04%,069620,
에이플러스에셋,Origin,10.66,"8,200",+10.66%,244920,
DSR제강,Origin,8.52,"7,130",+8.52%,069730,
NAVER,Origin,8.31,"423,500",+8.31%,035420,
넥스트사이언스,Origin,8.06,"14,750",+8.06%,003580,
삼성공조,Origin,7.56,"18,500",+7.56%,006660,
한국단자,Origin,7.54,"107,000",+7.54%,025540,
SKC,Origin,7.34,"153,500",+7.34%,011790,
카카오,Origin,6.6,"169,500",+6.60%,035720,
키다리스튜디오,Origin,6.21,"15,400",+6.21%,020120,
대구백화점,Origin,5.35,"15,750",+5.35%,006370,
화성산업,Origin,5.34,"13,800",+5.34%,002460,
두올,Origin,5.0,"5,460",+5.00%,016740,
사조동아원,Origin,4.9,"1,500",+4.90%,008040,
SNT모티브,Origin,4.8,"72,000",+4.80%,064960,
코스맥스비티아이,Origin,4.73,"21,050",+4.73%,044820,
SK아이이테크놀로지,Origin,4.72,"166,500",+4.72%,361610,
삼화전기,Origin,4.69,"35,700",+4.69%,009470,
조선선재,Origin,4.62,"136,000",+4.62%,120030,
신한 레버리지 천연가스 선물 ETN,Origin,4.62,"5,775",+4.62%,500053,
세원이앤씨,Origin,4.51,"2,085",+4.51%,091090,
경보제약,Origin,4.47,"12,850",+4.47%,214390,
삼성 레버리지 천연가스 선물 ETN B,Origin,4.38,"10,370",+4.38%,530068,
대웅,Origin,4.29,"42,500",+4.29%,003090,
TIGER 소프트웨어,Origin,4.28,"19,715",+4.28%,157490,
TIGER KRX인터넷K-뉴딜,Origin,4.28,"13,270",+4.28%,365000,
TRUE 레버리지 천연가스 선물 ETN(H),Origin,4.28,"5,600",+4.28%,570045,
진양산업,Origin,4.27,"6,110",+4.27%,003780,
